05,38,00
06,30,00
06,59,00
07,33,00
07,55,00
08,17,00
08,33,00
09,08,00
09,31,00
09,42,00
10,07,00
10,38,00
10,47,00
11,09,00
11,39,00
11,49,00
12,09,00
12,37,00
12,47,00
13,09,00
13,37,00
13,47,00
14,09,00
14,37,00
14,54,00
15,09,00
15,39,00
15,48,00
16,07,00
16,29,00
16,45,00
17,09,00
17,24,00
17,40,00
17,53,00
18,02,00
18,22,00
18,35,00
18,44,00
19,04,00
19,18,00
19,27,00
19,46,00
19,57,00
20,05,00
20,28,00
20,39,00
20,46,00
21,11,00
21,23,00
21,38,00
21,55,00
22,20,00
23,07,00
23,23,00
23,57,00
24,17,00
24,49,00
